TL0451L,Công Ty TNHH TMSXDV Kim Hoàng Long
TL0452L,Công Ty TNHH Tư Vấn Phát Triển Thị Trường M.S.V
TL0454L,Công Ty TNHH Một Thành Viên SX-TM gia đình LALAM
TL0455L,Công Ty TNHH XD-TM X-48
TL0456L,Công ty cổ phần kỹ thuật xây dựng Hải Âu
TL0459L,Công Ty TNHH GN-DV-TM Bắc âu
TL0460L,Công Ty Cổ  Phần Văn Hóa  Văn Lang
TL0461L,Công Ty TNHH TM Trường Thi
TL0462L,Doanh Nghiệp Tư Nhân Thương Mại Quỳnh Liêm
TL0463L,Công Ty TNHH HC-TL Mạnh Công
TL0465L,Công Ty CP XD-TM-DV Hoàng Phan
TL0467L,Công Ty TNHH TM-KT điện lạnh Đức Thuận
TL0468L,Công Ty CP TM & DV KT Long Ngân
TL0470L,Công ty TNHH Dương Huỳnh
TL0473L,Công Ty TNHH SX-TM HACA
TL0475L,Công Ty TNHH Công Nghệ D.C
TL0476L,Công Ty CP xây dựng và kinh doanh Địa ốc Tân Kỷ
TL0477L,Công ty TNHH Đăng Hưng
TL0480L,Công ty CP XD và TTNT Cao Tốc
TL0484L,DNTN VT Biển Thành Công
TL0488L,Công Ty TNHH TB Máy Quang Minh
TL0489L,Công ty TNHH TM và SX ánh Ninh
TL0490L,Công Ty TNHH TM-DV-YTế Định Giang
TL0491L,Cty  Cổ phần SX và TM Việt Hương
TL0494L,Công Ty TNHH SX-TM êm Đềm
TL0495L,Công Ty TNHH TM-DV Hoàng Thông
TL0502L,Công Ty TNHH TMDV Tốc Hành Toàn Cầu
TL0506L,Chi nhánh Công ty cổ phần Điện
TL0507L,Công Ty CP PM TT Kinh Doanh
TL0508L,Công Ty TNHH DV-GN T & S
TL0512L,Công ty CP SX TM và DV tin học xây dựng Na No
TL0513L,Công Ty TNHH In ấn và Bao Bì Giấy Khôi Nguyên(VL0034)
TL0515L,Công ty TNHH TM XD Kinh Doanh Nhà Thanh Nhựt
TL0517L,Viện TL & GD Pháp Luật
TL0520L,Công Ty TNHH A-67
TL0525L,Công Ty TNHH TK & In Gia Tuấn
TL0529L,Công Ty TNHH Gia Nguyễn A.P.T
TL0530L,Công Ty TNHH XDKD Đia ốc Tân Vũ Minh
TL0531L,Công ty TNHH tư vấn dự án SEAS
TL0534L,Công Ty TNHH Song Phương
TL0536L,Công Ty TNHH TMDV Phú & Em
TL0538L,CTY CP ĐT-XD A.T.A
TL0544L,Công Ty TNHH Sản Xuất Cơ Khí Cầu Trục & Lắp Máy Tân Cơ
TL0545L,Công ty TNHH Cơ Khí Gia Định
TL0548L,Công Ty TNHH CĐLạnh Hòa Thông
TL0550L,DNTN  sản xuát nước tinh khiết Hoàn Hảo
TL0551L,DNTN VC&TCCG Bình Hòa
TL0556L,Công Ty TNHH LOKI
TL0557L,Công Ty TNHH TM&SX  S.T.T
TL0559L,Công ty TNHH Vi Na Miền Đất Ngọt
TL0560L,Công Ty TNHH nguyên liệu sản xuất  D.D.P (VL0110)
TL0563L,Công ty TNHH NLS Trường Thành(TTúc)
TL0566L,Công ty TNHH sản xuất - thương mại Hoàng Hà
TL0572L,Công Ty TNHH DV Phú Phú An
TL0574L,Công Ty TNHH DV Hải Linh
TL0575L,Công ty Cổ phần Xây dựng đầu tư cơ sở hạ tầng Phú Thọ
TL0577L,Công ty TNHH Sản xuất  và Thương mại Đô Mi
TL0580L,Công Ty CP XD-KT Lá Đỏ
TL0581L,Công ty TNHH MIA DESIGN STUDIO
TL0583L,Công ty cổ phần đầu tư thương mại SMC
TL0585L,Cty Cổ phần ĐT KD Đ.ốc & DV  TM Du lịch Tân Hải
TL0586L,Công Ty CP-ĐT & KD Địa ốc Đại Nhân
TL0588L,Công ty TNHH thương mại dịch vụ V.I.N.A.T.R.A
TL0591L,Công ty Cổ phần PGT HOLDINGS
TL0593L,Công Ty TNHH QCTT Mai Thanh
TL0594L,Công Ty TNHH TM Phúc Mã
TL0596L,Công Ty TNHH Gia Định Taxi
TL0597L,Công Ty TNHH Tín HảI
TL0600L,Công ty TNHH Thiết Bị-Hệ Thống L.P.G
TL0603L,Công Ty TNHH TM DV & KT Kỷ Lục
TL0604L,Công Ty CP ôTô Phú Khang
TL0605L,Công Ty TNHH Linh Thanh Tuyền
TL0607L,Cty cổ phần Tư vấn ĐT và Xây dựng Việt Bách
TL0608L,Công Ty TNHH Dược Phẩm Anh Mỹ
TL0610L,Công Ty TNHH TV-TK-XD T.L.A
TL0611L,Công Ty Cổ Phần F.A
TL0616L,Công Ty TNHH SX TMDV Nam An Phú
TL0618L,Công Ty CP Vùng Đất Kỹ Thuật Số
TL0619L,Công ty TNHH TM-DV- Nhà hàng Nam Hải Long
TL0620L,Công Ty TNHH DP An Khang
TL0622L,Công Ty CP ĐT & KD Địa ốc Đông Nam
TL0623L,Công Ty TNHH Thiết bị Công nghiệp Tân Đại Phú Sỹ
TL0624L,Công Ty TNHH ôTô ĐạI Việt
TL0626L,Công Ty TNHH Hải Hoàng Dương
TL0628L,Công Ty TNHH VC QTế Song Phú
TL0629L,Chi nhánh Công Ty TNHH Điện Lạnh Hòa Phát
TL0630L,Công Ty CP ĐT-XD Nam Hiệp Thành
TL0631L,Công Ty TNHH TM Trọng Tâm
TL0632L,Công Ty TNHH Rạng Đông S.G
TL0634L,DNTN TM-DV SIêU VĩNH LợI
TL0636L,Công Ty TNHH Khâm Thiên
TL0637L,CTY CP TV-XD T.S.L
TL0639L,Công Ty TNHH TM-DV Kị Sĩ
TL0644L,Công Ty TNHH Kỹ Thuật L.M.Q
TL0645L,DNTN KS Tân Đông Kinh
TL0647L,Công ty TNHH giao nhận vận tải biển B.M.K
TL0649L,Công Ty TNHH M.V Liên Minh
TL0650L,Công  Ty TNHH Một Thành Viên Tân á Châu
TL0652L,Công Ty TNHH XD-TM-DV MIA
TL0655L,Công Ty TNHH XDDLTM Phúc Thịnh
TL0660L,Công Ty TNHH Tư Vấn Xây Dựng  Địa Kỹ Thuật và Môi Trường
TL0665L,DNTN Nhà Hàng Hương Cau
TL0666L,Công Ty TNHH TVTKXDTM Nhẫn Đạt
TL0667L,Công ty TNHH MTV SX-TM-DV Hạo Nhiên
TL0668L,Công Ty TNHH TM-DV Toàn Mỹ ý
TL0669L,Công ty TNHH TM SX DV Lê Hoàng Minh
TL0670L,Công Ty TNHH TM-DV Hiệp Phan
TL0672L,Công Ty TNHH Toàn Tin
TL0673L,Công ty TNHH Song Ngọc Loan
TL0674L,Công Ty TNHH TV ĐT và XD  A.E
TL0675L,Công Ty TNHH DV-TM Tân Thùy Vân
TL0676L,Công Ty TNHH TM Hoa Lợi
TL0677L,Công Ty TNHH XD Song Ngọc
TL0678L,Công Ty TNHH An Hòa Sơn
TL0682L,Công ty TNHH TM DV Ngành ảnh và Tin Học D&K
TL0684L,Công Ty TNHH  TM Việt Mỹ
TL0686L,Công Ty TNHH Cách Nhiệt Cách âm LICOM
TL0688L,Công Ty TNHH Tân Tiến Toàn
TL0689L,Công ty TNHH Xây lắp và khai thác VLXD Thanh Nam
TL0692L,Công Ty TNHH DV-GN Nam Tuyến
TL0693L,Công Ty TNHH G4B
TL0695L,Công Ty TNHH TM-DV Lưu Gia
TL0699L,Công ty TNHH dịch vụ thương mại sản xuất Trí Đức
TL0700L,Công Ty TNHH Quốc An V.N
TL0701L,Công ty TNHH trang thiết bị y tế  Nhật Khí
TL0703L,Công Ty TNHH Quế Gia
TL0705L,Công Ty TNHH ĐĐ XD KD Nhà Hoàng Tần
TL0707L,Công Ty TNHH Thiên Kỷ
TL0709L,Công Ty TNHH Tân Bảo Nguyên
TL0711L,Công Ty TNHH XD-TM Tân Tạo
TL0713L,Công ty TNHH SX-TM-DV-XNK Hưng Thành Đạt
TL0716L,Công Ty CP TM-DV Tân Thịnh
TL0717L,Công Ty TNHH TM-XD B.L.C
TL0718L,Công Ty TNHH XD-TM Hà Thanh
TL0719L,Công Ty TNHH TMDV Đồng Hữu
TL0720L,Công Ty TNHH Thương Mại Hòa Mai
TL0721L,Công ty TNHH XD-TM Bến Hải
TL0722L,Công Ty TNHH K.T.H.D
TL0724L,Công Ty TNHH XD C.A.C
TL0725L,Công Ty TNHH TM DV Ngôi Sao Sáng
TL0726L,Công Ty TNHH Tâm Phúc
TL0727L,Công Ty TNHH DV TMThế Hệ Mới
TL0728L,Công ty TNHH Nam Bắc
TL0729L,Công Ty TNHH Đông Hạ
TL0731L,Công Ty TNHH Quế Minh
TL0733L,Công Ty TNHH Xây Dựng và Kinh Doanh Nhà Hải Sơn
TL0734L,Công ty TNHH Quảng Cáo TM SX T.N.K
TL0735L,Công Ty TNHH SXTM Nguồn Sáng Mới
TL0741L,Công Ty TNHH XD-TM Hoàng Nam
TL0742L,Công Ty TNHH Thương Mại Mỹ an
TL0746L,Công Ty TNHH XNKTS Đ.K Phú Thành
TL0747L,DNTN Đại Thắng
TL0750L,Công Ty TNHH Liên Anh
TL0752L,Công ty TNHH Biển Đông Nam á
TL0753L,Công Ty CP TV&QL Tài Chính FMC
TL0754L,Công Ty TNHH Hồng Hưng
TL0756L,Công Ty TNHH SX-TM Tín Phát
TL0759L,Công Ty TNHH TK&XD Lâm Tú
TL0760L,DNTN PKĐK Yên Dũng
TL0761L,Công ty TNHH Tin học và phát triển phần mềm Trần Nguyễn
TL0762L,Công Ty TNHH Nhân Thiện Mỹ
TL0770L,Công Ty TNHH VIệT ánh Dương
TL0773L,Công Ty TNHH Nhật Hữu á Bá
TL0774L,Công Ty TNHH TMDVKT Trường Thủy
TL0775L,DNTN KS Hoàng Kỳ
TL0777L,Công Ty TNHH QC Khánh Linh
TL0780L,Công Ty TNHH TK-TV ĐT-XD Lam An
TL0781L,Công Ty TNHH Thang Máy Thành Trân
TL0782L,Công ty TNHH thiết kê và tư vấn xây dựng R.D.T.Q
TL0783L,Công Ty TNHH BĐS Trần Thái
TL0784L,Công Ty TNHH Tiến Mỹ
TL0785L,Công Ty CP XD TTNT Thành Đô
TL0786L,Công Ty TNHH SX-TM Trọng Tín
TL0787L,Công Ty TNHH VC&TM Triết Tâm
TL0789L,Công Ty TNHH TMSX RV Đức Quang
TL0791L,Công Ty CP TV-ĐT-TK-XD Sao Mai
TL0793L,Chi Nhánh Công Ty TNHH IC Việt Nam
TL0796L,Công ty CP SX KD xuất nhập khẩu Bình Thạnh
TL0797L,Công Ty CP XNK Gia Định
TL0798L,Công Ty CP Công Nghiệp Giao Thông Đông Hải
TL0799L,Công Ty TNHH Sinh Sinh Tài
TL0801L,Công Ty TNHH Thiện Tấn Dũng
TL0803L,Công Ty CP Tư vấn & Đầu tư Đăng Minh
TL0805L,Cty TNHH TM-DV Vân tải  Hàng hóa Phước Ngọc
TL0809L,Công Ty  CP Công Nghệ MớI B2T
TL0812L,DNTN BITA
TL0813L,CTY CP-TV-ĐT-XD VIệT NAM CNPN
TL0814L,Công ty TNHH TM DV quảng cáo Vạn Hưng Thịnh
TL0824L,Công ty TNHH Việt Tân Phát
TL0825L,DNTN TM Mai Ngọc
TL0826L,Công Ty CP Ngọc Ngân
TL0828L,Công Ty TNHH SX-TM-DV Thái Yên
TL0830L,DNTN KS Văn Thành
TL0831L,Công Ty CP SX N.U TK Phú Sĩ
TL0833L,DNTN KS Thiên Ân
TL0834L,Công Ty TNHH XD-TM Gia đoàn
TL0836L,Công Ty CP ĐT-XD-TM Đông Tây
TL0837L,DNTN Lâm Thuận Hưng
TL0839L,DNTN Y Học Cổ Truyền Hồng Hà
TL0843L,Công Ty TNHH TV-XD Hưng Nghiệp
TL0846L,Công ty  CP ĐT địa ốc Khang Việt
TL0848L,Công Ty TNHH TCMN Xuân Thị
TL0849L,Công Ty CP ĐT XD TM DV MINH Thuận Phát
TL0850L,Công Ty  TNHH Hương Nhiên
TL0852L,DNTN KS Huỳnh Gia
TL0853L,NHA KHOA SAINTPAUL
TL0854L,Công Ty TNHH KT Tự Động Hoá VINA
TL0855L,Công Ty TNHH TKTMDVTM Tân Thái Lê
TL0856L,Công ty TNHH Vịnh Trà
TL0858L,Công ty TNHH Khách Sạn - Nhà Hàng Trường Thi
TL0859L,Công ty TNHH TM-XD- SX Minh Phát
TL0860L,Công  Ty TNHH TM-DV D.N.V. Hải  âu
TL0861L,Công Ty TNHH Trác Việt
TL0863L,Công Ty  TNHH Hoàng Phương Mai
TL0864L,Công Ty TNHH Tín Nhân
TL0865L,Cty TNHH Dịch Vụ TM Tổng Hợp Đồng Việt
TL0867L,Công Ty TNHH Văn Khoa Sài Gòn
TL0868L,Công ty TNHH Giải Pháp Trực Tuyến
TL0869L,Công ty TNHH thương mại Tân Quang Minh
TL0872L,DNTN Kiên Bảo
TL0873L,Công Ty TNHH An Thịnh Tự Động
TL0877L,Công Ty TNHH TM Bảo Như
TL0878L,Công Ty TNHH  MTV DịCH Vụ  BIển Đông
TL0880L,Văn Phòng Luật Sư TRILAW
TL0882L,Công Ty TNHH DP TRUNG NAM
TL0883L,Công Ty TNHH TM Tuấn Anh
TL0884L,Công Ty TNHH Phụ Tùng á châu
TL0885L,Công Ty TNHH TM & TV KT-MT Nam Việt
TL0886L,Công Ty TNHH Khải Hoàn
TL0888L,Công Ty TNHH TM Nhật Minh
TL0890L,Công Ty TNHH HCTL SG Gia Định
TL0892L,Công Ty TNHH TM-DV Đa Minh
TL0896L,CTY TNHH TM-DV MàU XANH
TL0898L,Công Ty TNHH TM Tin Học T.D.E
TL0899L,Cơ sở Duyên Thùy
TL0900L,DNTN Cơ khí Bửu An
TL0901L,Công Ty TNHH TM 4M
TL0907L,Công TyTNHH TM DV VT Sơn Lâm
TL0908L,Công Ty TNHH Trúc Xuân
TL0909L,DNTN Tân Tùng Lâm
TL0910L,Công Ty CP Điện cơ Sài Gòn
TL0915L,Công Ty TNHH TMDVVT Thanh Trúc
TL0916L,Công Ty TNHH TM-DV-KT Toàn ấn
TL0917L,Công Ty TNHH TMDVGN Hương Nam
TL0919L,Cty Cổ phần TM XD và KD Nhà Dương Hồng
TL0920L,Công Ty Cổ phần Thiện Phú Sĩ
TL0921L,Công Ty TNHH DV Đô thị xanh
TL0922L,Công Ty TNHH TV XD Nam Chí
TL0923L,Công Ty TNHH TMDVSX  Hoàng Anh Gia Định
TL0924L,Cty TNHH Hoá chất H.D.I
TL0930L,Công ty  TNHH ST Thịnh Tín Nghĩa
TL0931L,Công ty  TNHH Kỹ Nghệ Việt Nam
TL0934L,Hộ Kinh Doanh Cá Thể Minh Phước I
TL0935L,DNTN TM KS Bình Minh
TL0936L,Công ty TNHH Đức Minh Sơn
TL0939L,Công ty TNHH  Nguyên Phúc
TL0940L,Công ty CP Triệu Phát
TL0941L,Công ty  TNHH Mỹ Hương
TL0942L,Công ty TNHH giao nhận thương mại ML Toàn Thế
TL0943L,Công ty  CP Địa ốc TM Duy Nhất
TL0944L,Quán ăn Hoa Sứ
TL0945L,Công ty TNHH Kỹ Thuật Tuệ Việt
TL0946L,Công ty TNHH XD Điện Xuân Bách
TL0949L,CTY CP Đầu Tư Địa ốc Khang An
TL0951L,Công ty TNHH TM-DV An Phú Minh
TL0952L,Phố Nướng Phương Nam
TL0954L,Công ty TNHH thương mại và giao nhận Hạnh An
TL0955L,Công ty TNHH TM Phú Thắng
TL0958L,Công ty TNHH Quảng Cáo Thương Mại Bằng Phương
TL0959L,Công ty TNHH XD Tăng Tấn
TL0961L,Công ty Cổ phần Thương mại Dịch vụ - Á Châu Đại Thắng
TL0964L,Công ty TNHH Thương mại Dịch vụ Xây dựng Phước Sơn
TL0965L,Công ty TNHH Đại Minh  Luân
TL0967L,Công ty TNHH Chân Trời Phương Đông
TL0973L,Cơ Sở STUDIO Phúc Tài
TL0977L,Công ty CP ĐT & XD Sông Lam
TL0978L,DNTN nhà nghỉ Tố Quyên
TL0979L,Công ty TNHH  Đất Hợp
TL0983L,Công ty CP Đô Thị du lịch Cần Giờ
TL0985L,Công ty TNHH Paramax Corporation
TL0989L,Công ty TNHH XD KS An Phi
TL0990L,Công ty CP Tân Hiệp Thành
TL0992L,DNTN KS THY THY
TL0993L,Công ty TNHH TH Thuận Khánh
TL0995L,Công ty TNHH Thắng Toàn Cầu
TL0996L,Công ty TNHH TM DV SX Thế Giới Nước
TL0997L,DNTN STM Điện điện tử Đông Anh
TL0999L,Công ty TNHH DENTI
TL1000L,DNTN Khách Sạn Thanh Tân
TL1002L,Công ty TNHH TM Kỹ Thuật và XD Hoa Anh Đào
TL1003L,Công ty CP M.S.P
TL1005L,Công ty TNHH Mỹ Vị
TL1009L,CN Công ty  CP  ĐTXD Thành Nam TP Hà Nội
TL1010L,Công ty TNHH Tân Nam An
TL1011L,Công ty CP KiếnTrúc C.A
TL1012L,Công ty TNHH Thương Mại Và Dịch Vụ Quốc Trí
TL1014L,Công ty TNHH TM-VT-TH Quy Long
TL1015L,Công ty CP TM-DV An Hiệp Lợi
TL1017L,Công ty TNHH TM-SX Phượng Hoàng
TL1019L,Công ty TNHH Thái  Ninh
TL1020L,Công ty CP Quang Minh
TL1021L,Công ty cổ phần kỹ thuật DDA
TL1026L,Công ty TNHH SX TMDV Bình Nguyên
TL1027L,Công ty TNHH SX và TM Hoa Sen Vàng
TL1028L,DNTN Khách sạn Đất Phù Sa
TL1031L,Chi nhánh Công ty CP SX Xây dựng TM và Nông nghiệp Hải Vương
TL1034L,Cơ Sở Sử Thiện
TL1035L,Văn Phòng Luật Sư Nam Thanh
TL1036L,Công ty TNHH KT & CN Mạnh Việt
TL1037L,Công ty TNHH TMDV Thịnh Việt
TL1038L,Công ty TNHH Trúc Phố
TL1041L,DNTN K.S Hoàng Nam
TL1042L,Công ty CP PTCN Điện MEGA - VN
TL1043L,Công ty CP Kiến Trúc Cổ Việt
TL1047L,Công ty TNHH SXTMDV Nguyên Đạt
TL1048L,Công ty TNHH Vận Tải -Thương mại và dịch vụ Phương Việt
TL1050L,Công ty TNHH Dịch vụ quảng cáo Ánh Sao
TL1052L,Công ty Cổ phần Đầu tư và Thương Mại Việt Tín
TL1053L,Công ty TNHH TK XD Kỹ Nghệ
TL1056L,Công ty TNHH TV TK XD Nhật Duy
TL1057L,Công ty TNHH SXTMDV Đ.Nhất Thống
TL1059L,Công ty TNHH TV QL QTC VIệt nam
TL1061L,Công ty TNHH ĐT-TV Thụ Nhân
TL1062L,Công ty TNHH IN Bao bì Hiệp Thành
TL1065L,Công ty TNHH Sơn Thái An
TL1066L,Công ty TNHH TM XNK Hợp thành
TL1068L,Công ty TNHH TM DV và XNK Minh Lâm
TL1072L,Công ty VT Xếp dỡ Lâm Gia
TL1073L,Công ty TNHH KTXD Hoàng Nguyên
TL1074L,Công ty TNHH TM DV T.G
TL1077L,Công ty CP Cao su Việt Phú Thịnh
TL1079L,Công ty TNHH TM DV Hồng Hải Anh
TL1081L,Công ty TNHH VT TM DV Hồng Phát
TL1082L,Công ty TNHH TM Đình Khiêm
TL1084L,Công ty TNHH SX CN VIETDELTA
TL1085L,Công ty TNHH TM DV Hải Yến
TL1086L,Công ty TNHH SX DV TM Thanh Bình Nam
TL1087L,Cơ Sở Vinh Quang
TL1088L,CN Công ty TNHH Hoài Nam
TL1089L,Công ty TNHH Vận Tải TM.DV Vạn Lộc
TL1090L,Công ty CP KT XD Thiên ân
TL1092L,Công ty CP DV Kỹ Thuật ANPHA
TL1093L,Công ty TNHH ĐT TV XD Thép Mới
TL1094L,Công ty CP Giám Định HH Thủ Đô
TL1095L,Công ty TNHH Danh Mộc
TL1096L,DNTN Phòng Trọ Quốc Hoàn
TL1097L,Công tyTNHH TM DV Sáu ẩn
TL1101L,Công ty CP ĐT XD TM Thuận Thành
TL1103L,Công ty TNHH MộT Thành Viên Kế Toán LEO
TL1105L,DNTN K.S Trường Phước
TL1106L,Công ty TNHH TM XD DV Rồng Xanh
TL1107L,Công ty TNHH Anh Cao
TL1108L,Công ty TNHH SX TM Phước Tài
TL1110L,Công ty TNHH SX TM DV Hoàng Duy
TL1111L,Công ty TNHH TB Thiên Quang
TL1113L,Công ty TNHH CN Đồng Danh
TL1118L,Công ty TNHH TMDV T.Nam Thiên
TL1119L,Công ty TNHH Trúc Viên
TL1120L,CTY TNHH TK XD VT MINH CANG
TL1121L,Cty TNHH  SX TMDV Đông  Phương Cổ Truyền
TL1122L,Công ty TNHH TM DV Nhị Nguyên
TL1123L,Công ty TNHH Thực phẩm Ân Nam
TL1125L,DNTN K.S THU NGA
TL1126L,Công ty TNHH Thiện hảo
TL1127L,DNTN SX TM QUANG LậP
TL1128L,Công Ty TNHH XD Trường An
TL1129L,Cty  TNHH Dịch vụ Bảo vệ Việt An
TL1130L,Công ty cổ phần Activate
